sent_compound,x,y
0,-14916.96393,6714670.8431595685
0,-14916.89499,6714670.825114569
0,-14916.88937,6714670.810702568
0.3182,-14916.89157,6714670.826999568
0.4215,-14916.89162,6714670.826850568
0,-14916.88975,6714670.8278985685
0,-14916.91063,6714670.822675568
0,-14916.88976,6714670.826918568
0.9186,-14916.89503,6714670.824850569
0.6879,-14916.89899,6714670.812872568
0.765,-14916.89189,6714670.826967568
0.5859,-14916.89188,6714670.826917568
0.6249,-14916.89515,6714670.825100568
0.5859,-14916.89189,6714670.826925568
0.6249,-14916.89533,6714670.825556569
0.8316,-14916.8892,6714670.803403568
0,-14916.93617,6714670.8110885685
-0.3071,-14916.88077,6714670.814808568
0.6124,-14916.90237,6714670.8147875685
0.1779,-14916.89189,6714670.826937568
0,-14916.92351,6714670.831870568
-0.2732,-14916.91504,6714670.812317569
0,-14916.8919,6714670.826923569
0.6322,-14916.89191,6714670.826862568
0.6486,-14916.8951,6714670.824892568
0.4927,-14916.8919,6714670.826914568
0.4927,-14916.89189,6714670.826867568
0.4019,-14916.89186,6714670.8270775685
0,-14916.93597,6714670.808933568
0.5267,-14916.92509,6714670.8127035685
0.5267,-14916.92469,6714670.8128005685
0.4019,-14916.89185,6714670.826903569
0,-14916.88991,6714670.825429568
0,-14916.89208,6714670.824675568
-0.9501,-14916.87076,6714670.799883569
0,-14916.89166,6714670.826935568
0.4019,-14916.9334,6714670.814425568
0.6696,-14916.88301,6714670.818584569
0.6696,-14916.88283,6714670.818045569
0.6696,-14916.88302,6714670.818278569
0,-14916.89185,6714670.826909568
0,-14916.87648,6714670.826017569
0,-14916.88723,6714670.848666568
0,-14916.87775,6714670.824987568
0.5859,-14916.89158,6714670.826948568
0.34,-14916.89046,6714670.819860568
0,-14916.89608,6714670.8249935685
0.128,-14916.91337,6714670.811636568
0,-14916.95384,6714670.839466568
0,-14916.93614,6714670.811010568
0.128,-14916.93114,6714670.810635569
0.7717,-14916.89516,6714670.825033569
0.128,-14916.87204,6714670.808665568
0.128,-14916.87248,6714670.810103568
0.128,-14916.9347,6714670.809856568
0.6249,-14916.89547,6714670.825500568
0,-14916.89996,6714670.812825568
0.128,-14916.8731,6714670.803556568
0.128,-14916.87424,6714670.802933568
0,-14916.89528,6714670.825282568
0.128,-14916.93157,6714670.810920568
0.128,-14916.87253,6714670.810194569
0.128,-14916.87048,6714670.810158568
0.128,-14916.87093,6714670.802370569
0.128,-14916.8709,6714670.804654568
0,-14916.91574,6714670.834112569
0,-14916.9005,6714670.817006568
0,-14916.90055,6714670.817039568
0.128,-14916.86973,6714670.804313568
0.128,-14916.86951,6714670.804467568
0,-14916.90402,6714670.820176569
0.128,-14916.86818,6714670.810582568
0.128,-14916.86969,6714670.804732569
0.128,-14916.87102,6714670.804707568
0.3612,-14916.91544,6714670.811434568
0,-14916.91446,6714670.803637568
0.4767,-14916.92234,6714670.804077568
0.5574,-14916.91495,6714670.842487568
0.8481,-14916.91499,6714670.841437568
0.2732,-14916.91503,6714670.810748569
0,-14916.91441,6714670.813052569
0.4199,-14916.90322,6714670.799259569
0.6249,-14916.89562,6714670.825173568
0.6249,-14916.89497,6714670.825109568
0.6249,-14916.89529,6714670.825190568
0.69,-14916.94443,6714670.829620568
0.2732,-14916.91316,6714670.8118205685
0.6249,-14916.89552,6714670.825409568
0.6249,-14916.89554,6714670.825200568
0,-14916.95405,6714670.838793568
0,-14916.89232,6714670.826317568
0.6249,-14916.89518,6714670.825022568
0.6037,-14916.94285,6714670.8073815685
0,-14916.89251,6714670.826103568
0.34,-14916.89052,6714670.819539568
0.34,-14916.89051,6714670.819548569
0.34,-14916.89046,6714670.819656569
-0.3182,-14916.88603,6714670.818624568
0,-14916.89254,6714670.826684568
0,-14916.89166,6714670.826915569
0.128,-14916.93887,6714670.809629568
0.128,-14916.94288,6714670.810223568
0.128,-14916.94369,6714670.810163569
0.128,-14916.94387,6714670.810784568
0.128,-14916.93897,6714670.810025568
0,-14916.89628,6714670.825654568
0.128,-14916.94305,6714670.810639569
0,-14916.93577,6714670.808980568
0.128,-14916.89118,6714670.817773568
0,-14916.89173,6714670.8266785685
0,-14916.89217,6714670.824698568
0,-14916.89189,6714670.826956568
0.5859,-14916.89188,6714670.826925568
-0.2732,-14916.88063,6714670.815773568
0.3182,-14916.8951,6714670.825292569
0,-14916.90339,6714670.808952568
0.5859,-14916.89189,6714670.8268645685
0,-14916.89188,6714670.8268955685
0.1386,-14916.94149,6714670.812715569
0,-14916.8919,6714670.826831568
0,-14916.89188,6714670.8268645685
-0.2732,-14917.02065,6714670.815536568
0.5859,-14916.89189,6714670.826862568
0.4019,-14916.89527,6714670.825292569
0,-14916.89191,6714670.826770568
0,-14916.89189,6714670.826762568
0,-14916.88819,6714670.8481175685
0,-14916.88785,6714670.848231568
0.4854,-14916.91631,6714670.833609568
0.4939,-14916.89089,6714670.813323569
-0.4588,-14916.91018,6714670.796884568
0,-14916.88795,6714670.848200568
0.6249,-14916.89462,6714670.825370569
0,-14916.89189,6714670.826831568
0.6249,-14916.89546,6714670.825591568
0,-14916.8916,6714670.826906568
0,-14916.91795,6714670.8034425685
0,-14916.8919,6714670.826889568
0,-14916.89191,6714670.8267095685
0.8779,-14916.92748,6714670.854850569
0.4019,-14916.88691,6714670.848427569
0.4939,-14916.91631,6714670.833612569
0.631,-14916.89306,6714670.803184568
0.5766,-14916.94586,6714670.810356569
0.128,-14916.91342,6714670.817859569
0,-14916.892,6714670.824601568
0.128,-14916.89491,6714670.816617568
-0.0258,-14916.92157,6714670.813323569
0.128,-14916.89504,6714670.812104569
0.128,-14916.88947,6714670.8171115685
0.8883,-14916.93841,6714670.809349569
0.128,-14916.89632,6714670.811543568
0.4215,-14916.88649,6714670.820144569
0.0516,-14916.89188,6714670.826892569
0,-14916.89188,6714670.826809568
0.4019,-14916.88789,6714670.848400569
0.128,-14916.887,6714670.811093569
0.0516,-14916.89189,6714670.826750568
0,-14916.94419,6714670.826206569
0,-14916.94435,6714670.826250568
0.2732,-14916.89185,6714670.826917568
0.4019,-14916.89586,6714670.825963568
0,-14916.87087,6714670.799943568
0,-14916.94423,6714670.826281568
0.128,-14916.95309,6714670.838424568
0.128,-14916.95487,6714670.839620569
-0.3412,-14916.88982,6714670.827264569
0,-14916.89169,6714670.826914568
0,-14916.89172,6714670.826966568
-0.3412,-14916.88984,6714670.827289568
0.128,-14916.9562,6714670.840272568
-0.1923,-14916.88983,6714670.827192568
0.0516,-14916.96301,6714670.839525568
0.128,-14916.95685,6714670.839854568
0,-14916.89529,6714670.825282568
0.128,-14916.95623,6714670.841917569
0.128,-14916.95663,6714670.836999568
0.128,-14916.95751,6714670.836661568
-0.6486,-14916.94029,6714670.816938568
0,-14916.90517,6714670.780097568
0,-14916.88336,6714670.818066568
0,-14916.94006,6714670.808192568
0.6249,-14916.89005,6714670.822258568
0,-14917.0187,6714670.789530569
0,-14916.98648,6714670.7937435685
0,-14917.0165,6714670.815257568
0,-14916.87313,6714670.831703569
0,-14916.88602,6714670.8447165685
0.9552,-14916.9257,6714670.812156568
0.1779,-14916.93754,6714670.812391568
-0.1531,-14916.93429,6714670.810253568
-0.2263,-14916.94064,6714670.812204569
0.4404,-14916.96405,6714670.815229569
0,-14916.88357,6714670.818505568
0.7579,-14916.94016,6714670.809386568
0.8685,-14916.95428,6714670.818800569
0,-14916.94294,6714670.814564568
0,-14916.88861,6714670.826751568
0.9485,-14916.98619,6714670.803857569
0,-14916.87862,6714670.8304085685
0.4927,-14916.95335,6714670.823013568
0,-14916.87377,6714670.8356415685
0,-14916.89052,6714670.823481568
0,-14916.98468,6714670.796152568
0,-14916.92133,6714670.832851568
0,-14916.95579,6714670.781584568
0,-14916.93044,6714670.810708568
0,-14916.98513,6714670.796184569
0,-14916.98504,6714670.796155568
0,-14916.98498,6714670.796186568
0,-14916.94182,6714670.814541568
0.4588,-14916.85849,6714670.783606568
0,-14917.01095,6714670.814189568
0,-14916.96594,6714670.814013569
0.4215,-14916.95538,6714670.839334568
0.4215,-14916.95544,6714670.839434569
0,-14916.90144,6714670.804450569
0,-14916.88336,6714670.824081568
0,-14916.87374,6714670.844956568
0.6908,-14916.93269,6714670.787399569
0,-14916.9372,6714670.816887569
0,-14916.94315,6714670.811910569
-0.0258,-14916.91516,6714670.816063568
0,-14916.93076,6714670.818559568
0.5859,-14916.91543,6714670.834612568
0,-14916.90573,6714670.8185175685
0.4215,-14916.92706,6714670.795021568
0,-14916.94858,6714670.819281569
0,-14916.9623,6714670.792623568
0.7964,-14916.89522,6714670.825567569
0,-14916.88921,6714670.826270568
0,-14916.96989,6714670.812832569
0,-14916.95266,6714670.850240569
-0.4215,-14916.97349,6714670.813653569
0,-14916.90212,6714670.804785568
0,-14916.95007,6714670.821164568
0,-14917.00675,6714670.871370568
0.4588,-14916.8778,6714670.817919568
0.872,-14916.89526,6714670.825523568
0.5766,-14916.88782,6714670.815195568
0,-14917.01907,6714670.8179365685
0.4215,-14916.93813,6714670.8301955685
-0.2732,-14916.9941,6714670.780678568
0.8957,-14916.97219,6714670.813039568
0,-14916.9326,6714670.810036568
0,-14916.92017,6714670.832964568
0,-14916.93186,6714670.816938568
0,-14916.87318,6714670.831670568
0.4003,-14916.92866,6714670.817305569
0.4215,-14916.93798,6714670.8298625685
0.7783,-14916.94556,6714670.809794568
0.4215,-14916.89593,6714670.810162568
0,-14916.92399,6714670.852041569
0,-14916.95051,6714670.827078569
0,-14916.9705,6714670.796591569
0,-14916.92569,6714670.806853568
0.3612,-14916.94025,6714670.806606568
0,-14916.95923,6714670.796978569
0,-14916.91548,6714670.834359569
0.6115,-14916.93543,6714670.807059568
0,-14916.87706,6714670.832524569
0.8049,-14916.97254,6714670.764165568
0,-14916.94742,6714670.809907569
0.7964,-14916.89518,6714670.825591568
0,-14916.88468,6714670.864341568
-0.296,-14916.9104,6714670.857778569
0,-14916.98947,6714670.855784568
0,-14916.88037,6714670.829300568
-0.0846,-14916.98658,6714670.793912568
0.7964,-14916.8954,6714670.825546568
0,-14916.94093,6714670.814728568
0,-14917.01639,6714670.8148455685
0,-14916.91518,6714670.807723569
0,-14916.96601,6714670.839665568
0,-14916.87709,6714670.782168568
0,-14917.02302,6714670.809487568
0,-14916.88393,6714670.874131569
0,-14916.98528,6714670.794426569
0,-14916.89402,6714670.838343568
0,-14916.98518,6714670.794006568
0,-14916.88922,6714670.823033568
0,-14916.87113,6714670.831917568
0,-14916.94719,6714670.819731568
0,-14916.94458,6714670.808932568
0,-14916.94277,6714670.809032569
0,-14916.96332,6714670.815315569
0,-14916.88368,6714670.824915568
0,-14916.90524,6714670.812803568
0,-14916.88902,6714670.835870569
0,-14916.98504,6714670.796199569
0,-14916.98456,6714670.832931568
0,-14916.9733,6714670.813493568
0.6505,-14916.94038,6714670.810264569
0.2263,-14916.93129,6714670.810378568
0,-14916.89321,6714670.826143568
0.5255,-14916.93684,6714670.808191569
0.4767,-14916.98654,6714670.793865568
0.9755,-14916.92329,6714670.813064569
-0.0258,-14916.95509,6714670.839025568
0,-14916.94998,6714670.812844568
0,-14916.94901,6714670.811682568
0.3182,-14916.9476,6714670.814003568
0,-14916.94891,6714670.812617568
0.5859,-14916.94525,6714670.812231569
0.8271,-14916.8925,6714670.816478568
0,-14916.90494,6714670.771220569
0.9755,-14916.92331,6714670.813114569
0.7269,-14916.94396,6714670.812456569
0,-14916.95491,6714670.838141568
0.4215,-14916.89854,6714670.860499568
0,-14916.98649,6714670.793827568
0,-14916.94599,6714670.812731569
0.8883,-14916.95048,6714670.833998568
0,-14916.93945,6714670.821210569
0,-14916.95391,6714670.8147565685
0,-14916.88559,6714670.816201569
0,-14916.87392,6714670.8349675685
0,-14916.92081,6714670.825309568
0,-14916.95424,6714670.838606568
0,-14916.97402,6714670.821584568
0.5204,-14916.98926,6714670.8175995685
0,-14916.90686,6714670.806926568
0.7184,-14916.92007,6714670.815056568
0,-14916.92008,6714670.815014568
0.1779,-14916.91519,6714670.817759569
0.7783,-14916.903,6714670.804792568
0,-14916.94288,6714670.811625568
-0.5255,-14916.97431,6714670.800658569
0.4404,-14917.01859,6714670.817478568
0,-14916.93408,6714670.793675568
0,-14916.92881,6714670.792728568
0,-14917.02115,6714670.767184569
0,-14916.90579,6714670.818559568
0,-14916.87334,6714670.836554568
0,-14916.98869,6714670.815293568
0,-14917.00955,6714670.813996568
0,-14916.94296,6714670.812667568
0,-14916.98968,6714670.854856568
0,-14916.88492,6714670.815985569
0,-14916.87447,6714670.817828569
0,-14916.88517,6714670.8236805685
0,-14917.01685,6714670.815184568
0.8442,-14916.93392,6714670.814067569
0.2732,-14916.86603,6714670.839244569
0.3682,-14916.88695,6714670.813446568
0.5719,-14916.94794,6714670.8085785685
0,-14916.94507,6714670.825970569
0,-14916.90885,6714670.823198568
0,-14916.93942,6714670.821217569
0,-14916.95298,6714670.802181568
0,-14916.95633,6714670.841023568
-0.296,-14916.92557,6714670.799478568
0,-14916.92975,6714670.846144568
0,-14916.90181,6714670.813223569
0,-14916.9271,6714670.795034569
-0.4226,-14916.95562,6714670.823213568
0,-14916.91772,6714670.829955569
-0.7184,-14916.94256,6714670.8163175685
0,-14916.94695,6714670.820075569
0,-14917.00713,6714670.8720895685
0,-14916.868,6714670.828993568
0,-14916.9842,6714670.796645569
0,-14916.88262,6714670.824441568
0.2732,-14916.85882,6714670.843259568
0,-14916.88472,6714670.863458568
0,-14916.92217,6714670.803677568
0,-14916.94364,6714670.812412568
0,-14916.88771,6714670.843200568
0,-14916.98498,6714670.796001568
0,-14916.88229,6714670.824642568
0,-14916.96052,6714670.813399568
0.8898,-14916.92768,6714670.8227665685
0,-14916.94156,6714670.811316568
0,-14916.87321,6714670.836534568
0,-14916.88091,6714670.828800568
0,-14916.88115,6714670.828626568
0.5499,-14916.93577,6714670.779068569
0,-14916.93046,6714670.821651569
0.7906,-14916.91338,6714670.764118568
0.5837,-14916.98117,6714670.816412568
0.7003,-14916.93767,6714670.8342935685
0,-14916.99574,6714670.822605568
0,-14916.99577,6714670.822599568
0,-14916.89292,6714670.836430568
0,-14916.89202,6714670.836336568
0.4926,-14916.9413,6714670.799276568
0.6249,-14916.89216,6714670.816899569
0.3612,-14916.93703,6714670.830782568
0,-14917.0214,6714670.820518568
0.6355,-14916.93038,6714670.810788568
0.5267,-14916.88272,6714670.816998568
0.3182,-14916.94671,6714670.812900568
0.5574,-14916.87304,6714670.836688569
0,-14916.93709,6714670.824956568
0,-14916.94377,6714670.812297569
0,-14916.99498,6714670.8009365685
0,-14916.89137,6714670.788822568
0,-14916.91361,6714670.835731569
0,-14916.95776,6714670.782728569
0,-14916.97061,6714670.810337569
0,-14916.98967,6714670.8445965685
0,-14916.89108,6714670.852969568
0.0772,-14916.95414,6714670.838383568
0.0772,-14916.95436,6714670.838310569
0,-14916.95651,6714670.840853568
0,-14917.03328,6714670.808734569
0.1759,-14916.94862,6714670.812669569
0,-14917.02107,6714670.767380568
0.1027,-14916.87347,6714670.835992568
0.7269,-14916.99131,6714670.817879569
0.5719,-14916.97017,6714670.796696568
0,-14916.95014,6714670.8113635685
0.0772,-14916.88757,6714670.798621568
0,-14916.94148,6714670.848525568
0,-14916.91767,6714670.855630568
0,-14916.92573,6714670.799543568
0,-14916.86985,6714670.823513568
0.8217,-14916.93208,6714670.787589569
0.4773,-14916.94721,6714670.811734568
-0.3612,-14916.86596,6714670.800370568
-0.4404,-14916.9133,6714670.7947545685
0,-14917.02264,6714670.816346568
0,-14917.02182,6714670.816793568
0.6792,-14916.98763,6714670.792556568
0,-14916.91001,6714670.832023568
0,-14917.01005,6714670.799416568
0.1531,-14916.90794,6714670.824779568
-0.1779,-14916.9331,6714670.812004568
0,-14916.88574,6714670.819686568
0.8201,-14916.89889,6714670.812929569
0.8689,-14916.93377,6714670.820479568
0.8243,-14916.93527,6714670.814808568
0.6249,-14916.89434,6714670.824847569
0,-14916.89432,6714670.825394568
0.6249,-14916.89228,6714670.816562569
0,-14917.01768,6714670.816306569
0.7351,-14916.91298,6714670.817332569
0,-14916.9892,6714670.817517568
0.1531,-14916.89107,6714670.824726569
0,-14916.88884,6714670.830161569
0,-14916.88889,6714670.833864569
0,-14916.88765,6714670.844687568
0,-14916.88973,6714670.827690569
0,-14916.98989,6714670.818041569
0.296,-14916.88898,6714670.829617568
0,-14916.9469,6714670.813248568
0,-14916.94215,6714670.808295568
0,-14917.01746,6714670.814621569
0,-14916.91226,6714670.812328569
0,-14917.02114,6714670.820616568
0,-14917.02075,6714670.820890568
0.7003,-14916.95987,6714670.813152568
0,-14917.02029,6714670.821161568
0,-14916.94711,6714670.788029568
0,-14917.0219,6714670.8171655685
0,-14916.93786,6714670.835223569
0,-14917.00081,6714670.814975568
0,-14917.01096,6714670.813873569
0,-14916.91291,6714670.798252569
0,-14916.9501,6714670.840973568
0,-14916.99131,6714670.818749568
0,-14916.89338,6714670.825364568
0,-14916.91386,6714670.821873568
0,-14917.01059,6714670.812731569
0,-14917.0193,6714670.818651568
0,-14917.01966,6714670.818838568
0,-14917.0127,6714670.813706568
0,-14917.01268,6714670.813666568
0,-14917.00745,6714670.816457569
0,-14917.02164,6714670.820393568
0,-14916.95293,6714670.847972568
0,-14917.01776,6714670.816248569
0,-14916.88953,6714670.828305569
0,-14916.93896,6714670.810248569
-0.3818,-14916.88929,6714670.823906569
0,-14916.96386,6714670.820552568
0,-14917.00959,6714670.809145568
0,-14916.88867,6714670.835572569
-0.2411,-14916.99186,6714670.819221568
0,-14916.88901,6714670.8231345685
0,-14916.93671,6714670.809325568
0.4404,-14916.94162,6714670.807496568
0,-14916.89129,6714670.823119569
0,-14917.01958,6714670.795235569
0,-14916.96366,6714670.806136568
-0.6636,-14916.95141,6714670.810047569
0,-14916.94962,6714670.794437569
0,-14917.01207,6714670.813815569
0,-14916.8864,6714670.845631569
0,-14916.95493,6714670.838154568
-0.4215,-14916.95602,6714670.823113568
0,-14916.94922,6714670.823173569
0,-14916.93301,6714670.865495568
0,-14916.95429,6714670.815876569
0,-14916.95447,6714670.815482568
0,-14916.93154,6714670.811595568
0,-14916.89565,6714670.823942568
0.8906,-14916.95509,6714670.839585569
0,-14916.88332,6714670.830240568
0,-14917.019,6714670.8060415685
0,-14917.00963,6714670.808304569
0.2263,-14916.95435,6714670.812073569
0,-14916.89974,6714670.825230569
0,-14916.99482,6714670.810594568
0,-14916.95593,6714670.837513569
0.0772,-14916.92506,6714670.825863568
0,-14917.02696,6714670.782168568
0,-14916.88455,6714670.8759705685
0.2263,-14916.95438,6714670.8120605685
0,-14916.88711,6714670.848159568
0.8449,-14916.89222,6714670.825499568
0,-14916.94349,6714670.811536568
0,-14916.94443,6714670.811343568
0,-14916.8834,6714670.824081568
0,-14916.94139,6714670.8072035685
0,-14916.92542,6714670.799630568
0,-14916.93901,6714670.808703569
0,-14916.93588,6714670.814154568
0,-14916.93843,6714670.806484568
0,-14916.98514,6714670.796167568
0,-14916.98468,6714670.7962535685
0,-14916.9168,6714670.833297568
0,-14917.00853,6714670.798689568
0,-14916.97016,6714670.823213568
0,-14916.87097,6714670.826470569
0,-14916.88333,6714670.823133568
0.2263,-14916.98959,6714670.817779568
0,-14916.88978,6714670.826167569
0,-14917.00894,6714670.798812568
0.2382,-14916.9529,6714670.806969568
0,-14916.86905,6714670.816137568
-0.1695,-14916.89546,6714670.811849568
0,-14916.94628,6714670.811530569
0.9134,-14916.8963,6714670.808670568
-0.6249,-14916.94849,6714670.825531568
0,-14917.00412,6714670.799806569
0,-14917.01261,6714670.797800568
0,-14916.94676,6714670.812798568
0,-14916.85893,6714670.790960568
0.9403,-14916.89371,6714670.8084895685
0,-14916.87509,6714670.818567568
0,-14916.94064,6714670.815963568
0,-14916.88324,6714670.823038569
0,-14916.91008,6714670.799977568
0,-14916.89146,6714670.773556569
0,-14916.94377,6714670.806530569
0,-14917.01257,6714670.797848568
0,-14916.94034,6714670.8087255685
0,-14916.89431,6714670.801473568
0,-14916.884,6714670.8229795685
0.2944,-14916.89557,6714670.811689569
0,-14916.93767,6714670.817302569
0.7318,-14916.94022,6714670.810241568
0,-14916.89121,6714670.851114568
0,-14916.89148,6714670.773639568
0,-14916.8914,6714670.773467569
0,-14916.88869,6714670.813323569
0,-14916.94039,6714670.808723568
0,-14916.92241,6714670.817532568
0,-14916.95202,6714670.8091595685
0,-14916.88569,6714670.823640568
0,-14916.89037,6714670.788662569
0,-14916.89339,6714670.789864568
0,-14916.89115,6714670.773314568
0,-14916.92838,6714670.805170569
0,-14916.89144,6714670.773542568
0,-14916.89144,6714670.773528568
0,-14917.01757,6714670.814915569
0,-14916.94729,6714670.811436568
0,-14916.94044,6714670.8087255685
0.9586,-14916.94005,6714670.808718569
0,-14916.9385,6714670.819392568
0,-14916.91197,6714670.806949568
0.6249,-14916.9126,6714670.822559568
0.5106,-14916.98493,6714670.795538568
0.4767,-14916.93827,6714670.804109569
0.5362,-14916.93895,6714670.805578568
0,-14916.93915,6714670.806125568
0,-14916.88082,6714670.828907568
0.3985,-14916.95335,6714670.809739568
0,-14916.94059,6714670.790764568
0,-14916.939,6714670.790684569
0,-14916.93865,6714670.790764568
0,-14916.94031,6714670.808389569
0,-14916.88181,6714670.815131568
0,-14916.94035,6714670.806960569
0,-14916.88131,6714670.828446568
0.4215,-14916.96418,6714670.816345569
0.4215,-14916.96478,6714670.816759569
0.4215,-14916.98392,6714670.796000568
0,-14916.92836,6714670.805573569
0.4767,-14916.95087,6714670.808464568
0,-14916.90315,6714670.814825568
0,-14916.90308,6714670.814842569
0,-14916.90323,6714670.814962569
0,-14916.98653,6714670.803839568
0,-14916.98664,6714670.803898568
0.8074,-14916.98669,6714670.803973569
0,-14916.98314,6714670.796043568
0,-14916.91065,6714670.807150569
0,-14916.91089,6714670.806984568
0.3182,-14916.94097,6714670.808623568
-0.3182,-14916.94062,6714670.808345568
0,-14916.97056,6714670.789950568
0,-14916.94063,6714670.808189568
-0.3182,-14916.94062,6714670.808242569
0.8442,-14916.95474,6714670.7990345685
0,-14916.94057,6714670.808192568
0,-14916.94064,6714670.808203569
0.4939,-14916.94064,6714670.808306568
-0.6597,-14916.94062,6714670.808189568
-0.6597,-14916.94062,6714670.808189568
0,-14916.94067,6714670.8083035685
0,-14916.94064,6714670.808073568
-0.4767,-14916.94061,6714670.808323569
0,-14916.91128,6714670.806887568
0,-14916.88902,6714670.828967568
0,-14916.94063,6714670.8080595685
0,-14916.93971,6714670.790487568
0,-14916.93876,6714670.790087569
0.8295,-14916.95078,6714670.8142645685
0,-14916.93972,6714670.790859568
0,-14916.94006,6714670.808084568
0,-14916.98317,6714670.796003568
0,-14916.98378,6714670.795638569
0,-14916.93975,6714670.790848568
0,-14916.93989,6714670.790489568
0,-14916.91075,6714670.807069568
0,-14916.9106,6714670.806855569
-0.3818,-14916.9403,6714670.808196568
0,-14916.92926,6714670.811081569
0,-14916.91211,6714670.806425569
0,-14916.92853,6714670.805206568
0.9773,-14916.96404,6714670.819728568
0,-14916.94004,6714670.808425568
0,-14916.93902,6714670.808437568
