sent_compound,x,y
-0.1655,-14916.95043,6714670.812751568
0,-14916.86679,6714670.845614568
0,-14916.9231,6714670.8007465685
0.4215,-14916.97472,6714670.798340568
0,-14916.90791,6714670.812023568
0,-14916.95591,6714670.7813335685
0.9274,-14916.93484,6714670.803609569
0.8126,-14916.93718,6714670.800323568
-0.25,-14916.95554,6714670.810067568
0,-14916.9415,6714670.799842568
0,-14916.90322,6714670.804634568
0,-14916.95205,6714670.812778568
0,-14916.93776,6714670.830073568
0,-14916.96292,6714670.793031569
0,-14916.89268,6714670.811890569
0,-14916.89779,6714670.805820568
0.9217,-14916.94024,6714670.808204568
0,-14916.93925,6714670.808678568
0,-14916.93659,6714670.826837569
0,-14916.90956,6714670.805934568
0,-14916.98513,6714670.794309569
0,-14916.9738,6714670.845334568
0,-14916.94818,6714670.809542568
0.875,-14916.92552,6714670.799637568
0,-14916.98424,6714670.796675568
0.4215,-14916.88609,6714670.8614455685
0.4215,-14916.88611,6714670.861498568
0,-14916.93804,6714670.816878568
0,-14916.93746,6714670.8296455685
0.4588,-14916.92544,6714670.825934568
0,-14916.92085,6714670.832770568
0,-14916.95556,6714670.811056568
0.4843,-14916.93443,6714670.806729568
0,-14916.98107,6714670.805273568
0,-14916.95368,6714670.792225569
0.4215,-14916.98098,6714670.831516569
0,-14916.95515,6714670.810408568
0.4215,-14916.88776,6714670.819512568
0.4588,-14916.9289,6714670.810356569
0.7227,-14916.94966,6714670.7966485685
0,-14916.99899,6714670.809600568
0,-14916.99902,6714670.8096205685
0,-14916.99897,6714670.809607568
0,-14916.93768,6714670.813433568
0,-14916.89542,6714670.810675568
0,-14916.88656,6714670.846192569
0,-14916.91142,6714670.806923568
0,-14916.88657,6714670.846200569
0,-14916.88283,6714670.845300568
0,-14916.88655,6714670.846186568
0,-14916.88656,6714670.8461845685
0,-14916.8865,6714670.844970568
0,-14916.88656,6714670.846198568
0,-14916.88656,6714670.846200569
0,-14916.88655,6714670.8461845685
0,-14916.88656,6714670.846192569
0.4588,-14916.93836,6714670.808144568
0,-14916.99964,6714670.805900568
0,-14916.9787,6714670.813792569
0,-14916.93867,6714670.809448568
0.9098,-14916.93034,6714670.804431568
0,-14916.93291,6714670.807706568
0,-14916.87927,6714670.813984568
0,-14916.99601,6714670.821323568
0,-14916.93272,6714670.807880568
0,-14916.92908,6714670.818953568
0,-14916.95234,6714670.815123568
0,-14916.94215,6714670.808295568
0,-14916.88435,6714670.820412569
0,-14916.94354,6714670.807884568
0,-14916.95402,6714670.805525568
0,-14916.96763,6714670.800909569
0,-14916.94036,6714670.809197568
0,-14916.98835,6714670.815595568
0,-14916.93872,6714670.874086568
0.8395,-14916.95789,6714670.807710568
0,-14917.00357,6714670.801620568
0,-14916.95776,6714670.793471568
0,-14916.98866,6714670.797753569
0.6588,-14916.91326,6714670.816998568
0,-14917.00349,6714670.788204568
0,-14916.97904,6714670.787220568
0,-14916.95107,6714670.814204568
0,-14916.93484,6714670.822993568
0,-14916.88331,6714670.821106568
0,-14916.94716,6714670.809400569
0,-14916.98242,6714670.804273568
0,-14916.90532,6714670.811542569
0,-14916.90501,6714670.811720569
0,-14916.92093,6714670.818706568
0,-14916.89671,6714670.851373568
0,-14916.89534,6714670.810528568
0,-14916.93396,6714670.811358568
0.8274,-14916.89511,6714670.809342569
0,-14916.90475,6714670.811756568
0,-14916.90514,6714670.818812569
0,-14916.95411,6714670.800302568
0,-14916.91119,6714670.8070135685
0.7564,-14916.88221,6714670.824623568
0.6705,-14916.88221,6714670.824617568
0,-14916.94296,6714670.812456569
-0.5106,-14916.93383,6714670.811307568
0,-14916.94585,6714670.828166569
0,-14916.93446,6714670.810159569
0,-14916.9324,6714670.810114568
0.8192,-14916.88788,6714670.827403569
0.7615,-14916.94316,6714670.774817568
0,-14916.94618,6714670.812331568
0,-14916.94684,6714670.808998568
0,-14917.00577,6714670.787306569
0,-14916.96958,6714670.814162568
0,-14916.88489,6714670.816123568
0,-14916.93964,6714670.807316569
0,-14916.92889,6714670.792475568
0,-14916.93919,6714670.807914568
-0.997,-14916.97059,6714670.7900175685
0,-14916.92732,6714670.805473568
0,-14916.94005,6714670.790256568
0,-14916.94005,6714670.790248568
0,-14916.97216,6714670.813159568
0,-14916.93924,6714670.790258569
0,-14916.92813,6714670.8053945685
0,-14916.95356,6714670.799025568
0,-14916.93882,6714670.790195568
0,-14916.94914,6714670.808632568
0,-14916.94031,6714670.808324568
0,-14916.93868,6714670.818514569
0,-14916.95107,6714670.8074165685
0.7717,-14916.95062,6714670.807009568
0,-14916.93841,6714670.818603569
0,-14916.93911,6714670.808144568
0.5984,-14916.94115,6714670.808123568
0,-14916.93543,6714670.822658569
-0.8835,-14916.93925,6714670.806548568
0,-14916.97061,6714670.789934568
0,-14916.98348,6714670.796119568
0,-14916.90603,6714670.818105568
0,-14916.9383,6714670.808434568
0,-14916.93826,6714670.808527568
0,-14916.95075,6714670.814300569
0,-14916.95067,6714670.814250568
0,-14916.91213,6714670.807034568
0,-14916.94002,6714670.808220568
0,-14916.94611,6714670.788114568
0,-14916.91119,6714670.807516568
0.9042,-14916.94024,6714670.808138568
0,-14916.91119,6714670.806909569
0,-14916.93712,6714670.817926568
0,-14916.95071,6714670.814242569
0,-14916.95058,6714670.813987568
0,-14916.95066,6714670.814073568
0,-14916.95076,6714670.814189568
0,-14916.91099,6714670.807016568
0,-14916.94117,6714670.808420569
0,-14916.95061,6714670.814039568
0,-14916.95067,6714670.814256568
0,-14916.9111,6714670.806902569
0,-14916.91032,6714670.808979568
0,-14916.9112,6714670.806918568
0,-14916.9111,6714670.806851569
0.8074,-14916.99962,6714670.804787569
0,-14916.91081,6714670.806829568
0,-14916.91025,6714670.806953568
0,-14916.9539,6714670.799035569
0,-14916.93845,6714670.789292568
0,-14916.94084,6714670.808331569
0,-14916.94083,6714670.808356568
0,-14916.94061,6714670.808748568
0,-14916.94065,6714670.808748568
0,-14916.92747,6714670.805478568
0,-14916.9406,6714670.808173568
0,-14916.91985,6714670.832858568
0,-14916.94131,6714670.808225568
0,-14916.94119,6714670.808134568
0,-14916.94044,6714670.808750568
0,-14916.94024,6714670.808717568
0,-14916.941,6714670.808478569
0,-14916.94098,6714670.808325568
0.8555,-14916.97068,6714670.7899515685
0,-14916.91134,6714670.807002569
0,-14916.9542,6714670.799102568
0,-14916.95538,6714670.809120568
0,-14916.90528,6714670.819514568
0,-14916.88203,6714670.815217569
0,-14916.88201,6714670.815231568
0,-14916.93905,6714670.790206568
-0.9562,-14916.94011,6714670.808634568
0.4588,-14916.91176,6714670.806762569
0.923,-14917.01141,6714670.799048568
0.8957,-14916.97009,6714670.812722568
0.9219,-14916.93961,6714670.808312569
0.8658,-14916.91161,6714670.806989568
0,-14916.88208,6714670.815323568
0,-14916.93961,6714670.808682568
