owner,total_photos,city_photos,city_ratio,day_span,classification
10089490@N06,1,1,1.0,0,TOURIST
10116900@N08,3,3,1.0,0,TOURIST
10126457@N07,1,1,1.0,0,TOURIST
10227925@N04,1,1,1.0,0,TOURIST
10288834@N08,9,9,1.0,3247,RESIDENT
10297518@N00,14,14,1.0,0,TOURIST
10485077@N06,28,28,1.0,9,TOURIST
10645937@N03,171,171,1.0,16875,RESIDENT
108102096@N06,1,1,1.0,0,TOURIST
10909746@N05,23,23,1.0,0,TOURIST
111314495@N05,2,2,1.0,0,TOURIST
111842568@N03,6,6,1.0,0,TOURIST
11200205@N02,10,10,1.0,4021,RESIDENT
113206454@N02,18,18,1.0,5,TOURIST
11473784@N00,2,2,1.0,0,TOURIST
11537676@N06,3,3,1.0,0,TOURIST
11763518@N00,1,1,1.0,0,TOURIST
119192561@N02,3,3,1.0,1586,RESIDENT
11929105@N00,3,3,1.0,1,TOURIST
119343618@N08,8,8,1.0,0,TOURIST
12220922@N05,15,15,1.0,1339,RESIDENT
12258906@N02,43,43,1.0,2213,RESIDENT
124534459@N02,1,1,1.0,0,TOURIST
12494104@N00,22,22,1.0,2521,RESIDENT
125040282@N03,1,1,1.0,0,TOURIST
12547546@N00,1,1,1.0,0,TOURIST
12608538@N03,8,8,1.0,41,TOURIST
126669368@N03,2,2,1.0,0,TOURIST
126771727@N04,1,1,1.0,0,TOURIST
127349327@N05,3,3,1.0,0,TOURIST
128194178@N04,1,1,1.0,0,TOURIST
128318817@N08,3,3,1.0,0,TOURIST
13032456@N05,5,5,1.0,3,TOURIST
13073759@N04,5,5,1.0,277,RESIDENT
130745187@N04,2,2,1.0,0,TOURIST
131436388@N07,1,1,1.0,0,TOURIST
13259518@N00,5,5,1.0,2,TOURIST
133200397@N03,1,1,1.0,0,TOURIST
133313360@N07,1,1,1.0,0,TOURIST
133876835@N08,3,3,1.0,0,TOURIST
133942582@N05,1,1,1.0,0,TOURIST
13407304@N05,20,20,1.0,254,RESIDENT
13484951@N00,15,15,1.0,0,TOURIST
134989406@N02,1,1,1.0,0,TOURIST
135498250@N03,3,3,1.0,516,RESIDENT
13562200@N07,30,30,1.0,0,TOURIST
135924873@N02,22,22,1.0,3374,RESIDENT
13663615@N08,20,20,1.0,1452,RESIDENT
137743397@N08,18,18,1.0,1383,RESIDENT
137918669@N08,4,4,1.0,0,TOURIST
13879794@N04,3,3,1.0,486,RESIDENT
13893079@N06,3,3,1.0,484,RESIDENT
14113765@N00,2,2,1.0,0,TOURIST
14143447@N06,3,3,1.0,4,TOURIST
141544409@N02,5,5,1.0,0,TOURIST
142019185@N05,1,1,1.0,0,TOURIST
14315820@N03,10,10,1.0,189,RESIDENT
143782700@N08,5,5,1.0,2,TOURIST
144118725@N02,2,2,1.0,0,TOURIST
14423978@N08,1,1,1.0,0,TOURIST
145214066@N04,4,4,1.0,975,RESIDENT
145400672@N02,14,14,1.0,1,TOURIST
14688077@N07,6,6,1.0,566,RESIDENT
147123366@N06,1,1,1.0,0,TOURIST
147211726@N06,1,1,1.0,0,TOURIST
14829735@N00,2,2,1.0,0,TOURIST
14838182@N00,82,82,1.0,2407,RESIDENT
148398113@N04,2,2,1.0,0,TOURIST
149915878@N06,3,3,1.0,0,TOURIST
150176946@N03,2,2,1.0,47,TOURIST
15023277@N02,1,1,1.0,0,TOURIST
150408877@N06,41,41,1.0,2282,RESIDENT
15338921@N00,3,3,1.0,0,TOURIST
153680180@N07,1,1,1.0,0,TOURIST
154266841@N04,1,1,1.0,0,TOURIST
15427108@N05,4,4,1.0,0,TOURIST
15453769@N03,14,14,1.0,682,RESIDENT
15523409@N05,100,100,1.0,1117,RESIDENT
157106216@N08,1,1,1.0,0,TOURIST
159186336@N03,1,1,1.0,0,TOURIST
16022034@N00,38,38,1.0,115,RESIDENT
161926543@N06,1,1,1.0,0,TOURIST
16202437@N02,1,1,1.0,0,TOURIST
162236415@N08,1,1,1.0,0,TOURIST
16257414@N00,8,8,1.0,1133,RESIDENT
162720065@N03,2,2,1.0,0,TOURIST
16340759@N07,10,10,1.0,713,RESIDENT
16446277@N03,33,33,1.0,5,TOURIST
16669082@N05,5,5,1.0,360,RESIDENT
16706986@N08,35,35,1.0,644,RESIDENT
167177646@N06,2,2,1.0,0,TOURIST
168070685@N05,1,1,1.0,0,TOURIST
168193068@N08,1,1,1.0,0,TOURIST
17176810@N00,2,2,1.0,0,TOURIST
17532975@N00,2,2,1.0,0,TOURIST
17643382@N00,3,3,1.0,0,TOURIST
183010570@N02,8,8,1.0,888,RESIDENT
183990241@N07,1,1,1.0,0,TOURIST
186411836@N03,1,1,1.0,0,TOURIST
186827528@N05,1,1,1.0,0,TOURIST
186908242@N03,2,2,1.0,0,TOURIST
187676294@N06,2,2,1.0,0,TOURIST
188756690@N03,1,1,1.0,0,TOURIST
189324420@N04,90,90,1.0,2,TOURIST
190199605@N08,3,3,1.0,925,RESIDENT
191198804@N08,1,1,1.0,0,TOURIST
192540662@N04,1,1,1.0,0,TOURIST
193794572@N08,5,5,1.0,0,TOURIST
19396658@N00,2,2,1.0,409,RESIDENT
196020016@N08,4,4,1.0,730,RESIDENT
196858315@N05,1,1,1.0,0,TOURIST
197093247@N06,4,4,1.0,364,RESIDENT
198025748@N03,1,1,1.0,0,TOURIST
199294069@N06,17,17,1.0,21,TOURIST
199782701@N05,2,2,1.0,0,TOURIST
200709698@N02,2,2,1.0,291,RESIDENT
200797652@N06,3,3,1.0,103,RESIDENT
201763847@N04,3,3,1.0,0,TOURIST
201993850@N03,1,1,1.0,0,TOURIST
202010691@N07,5,5,1.0,1467,RESIDENT
202035578@N03,1,1,1.0,0,TOURIST
202044946@N04,3,3,1.0,0,TOURIST
20214683@N00,1,1,1.0,0,TOURIST
202347285@N02,2,2,1.0,32719,RESIDENT
202988504@N03,2,2,1.0,0,TOURIST
203295236@N06,21,21,1.0,3177,RESIDENT
20342758@N00,2,2,1.0,0,TOURIST
203470588@N08,1,1,1.0,0,TOURIST
203695469@N02,1,1,1.0,0,TOURIST
203763599@N04,6,6,1.0,0,TOURIST
20987962@N03,1,1,1.0,0,TOURIST
21000745@N02,249,249,1.0,1593,RESIDENT
21233184@N02,1,1,1.0,0,TOURIST
21287822@N03,36,36,1.0,0,TOURIST
21532219@N04,2,2,1.0,0,TOURIST
21611052@N02,8,8,1.0,4927,RESIDENT
22083482@N03,85,85,1.0,2493,RESIDENT
22421801@N00,1,1,1.0,0,TOURIST
22465386@N05,160,160,1.0,368,RESIDENT
23366204@N05,2,2,1.0,0,TOURIST
23511776@N08,49,49,1.0,0,TOURIST
24044636@N00,6,6,1.0,328,RESIDENT
24101413@N03,2,2,1.0,0,TOURIST
24232779@N00,6,6,1.0,0,TOURIST
24406544@N00,2,2,1.0,0,TOURIST
24929622@N04,1,1,1.0,0,TOURIST
25937668@N08,2,2,1.0,2016,RESIDENT
25998506@N05,1,1,1.0,0,TOURIST
26009408@N00,10,10,1.0,545,RESIDENT
26373083@N03,8,8,1.0,187,RESIDENT
26399791@N07,2,2,1.0,0,TOURIST
26967987@N00,1,1,1.0,0,TOURIST
27045884@N05,1,1,1.0,0,TOURIST
27260919@N07,1,1,1.0,0,TOURIST
27297004@N08,2,2,1.0,0,TOURIST
