NUMPOINTS,X,Y
222,-16303.40177,7229754.189262568
304,-16438.49177,7230058.269262568
124,-15749.04177,7229877.819262568
203,-15692.82177,7229733.699262569
1747,-15714.85177,7229896.669262568
1579,-15715.34177,7229895.179262568
826,-15696.62177,7229905.659262569
339,-15905.49177,7229853.429262568
464,-15696.79177,7229895.859262568
1275,-15749.40177,7229875.179262568
417,-15789.06177,7229755.399262568
578,-15718.09177,7229896.349262568
1186,-15717.98177,7229895.849262568
284,-15750.67177,7229877.679262568
1163,-15718.06177,7229895.929262568
219,-15752.43177,7229882.239262569
344,-15691.11177,7229660.709262568
741,-16160.89177,7229737.559262568
986,-15606.88177,7229774.759262568
296,-15822.88177,7229774.549262568
683,-15718.04177,7229896.049262568
1451,-16034.21177,7229945.379262568
1068,-15949.56177,7229749.849262568
583,-15718.12177,7229895.909262569
2437,-15718.29177,7229895.299262568
498,-15750.18177,7229875.599262568
200,-15718.12177,7229895.819262568
208,-15718.06177,7229895.349262568
4021,-15717.78177,7229897.449262569
1069,-16158.82177,7229716.009262568
250,-16050.01177,7229753.709262568
267,-16046.04177,7229754.679262568
2938,-15717.68177,7229895.709262568
817,-15698.29177,7229880.969262568
898,-15719.97177,7229873.429262568
183,-15506.78177,7229625.509262568
2080,-15715.70177,7229896.029262569
371,-16133.15177,7229770.929262568
16,-15629.29177,7229812.519262568
23,-15627.48177,7229807.129262568
239,-15467.04177,7230082.819262568
67,-15629.34177,7229809.459262568
347,-15717.65177,7229895.769262568
29,-15563.95177,7229886.849262568
1282,-15671.47177,7230113.339262568
28,-15576.62177,7229876.549262568
1442,-15714.95177,7229896.159262569
1443,-15703.79177,7229825.279262569
385,-15759.90177,7229876.609262568
155,-15932.83177,7229743.039262569
10988,-16337.55177,7230021.339262568
631,-16160.52177,7229736.779262569
127,-16110.50177,7229733.029262569
635,-15750.78177,7229877.009262568
176,-15519.55177,7229713.329262569
197,-15523.98177,7229727.709262568
112,-16146.15177,7229725.239262569
221,-15753.89177,7229881.679262568
4807,-15798.72177,7229754.929262568
145,-15530.17177,7229662.239262569
105,-15541.50177,7229656.009262568
3037,-15751.94177,7229879.499262569
154,-16114.85177,7229735.879262568
146,-15524.49177,7229728.619262569
196,-15503.95177,7229728.259262568
125,-15508.43177,7229650.379262568
145,-15508.10177,7229673.219262568
963,-15956.59177,7229967.799262568
493,-15804.15177,7229796.739262569
334,-15804.65177,7229797.069262568
104,-15496.41177,7229669.809262568
61,-15494.26177,7229671.349262568
169,-15839.38177,7229828.439262568
149,-15480.93177,7229732.499262569
120,-15496.05177,7229673.999262569
124,-15509.39177,7229673.749262569
379,-15953.54177,7229741.019262568
318,-15943.77177,7229663.049262568
1413,-16030.14177,7229634.139262568
354,-16022.52177,7229667.449262569
97,-15948.68177,7230051.549262568
91,-15949.07177,7230041.049262568
94,-15949.40177,7229734.159262569
1331,-15943.23177,7229757.199262569
79,-15831.31177,7229619.269262568
429,-15755.34177,7229878.409262569
877,-15748.81177,7229877.769262568
314,-15752.05177,7229878.579262569
123,-16243.48177,7229922.879262568
96,-15930.70177,7229744.879262568
293,-15754.37177,7229880.769262568
302,-15754.54177,7229878.679262568
106,-16339.68177,7230014.609262568
877,-15722.33177,7229889.849262568
398,-15750.97177,7229876.899262568
262,-16227.68177,7229700.489262569
802,-15724.26177,7229887.709262568
939,-15704.34177,7229822.069262568
940,-15704.20177,7229822.159262569
1136,-15703.73177,7229823.239262569
535,-15659.46177,7229812.919262568
581,-15724.58177,7229893.519262568
989,-15715.70177,7229895.829262569
119,-16187.85177,7229722.969262568
143,-16227.90177,7229728.909262569
123,-16236.06177,7229728.309262568
138,-16237.88177,7229734.519262568
89,-16188.88177,7229726.929262568
1364,-16546.30177,7229610.079262569
472,-15761.94177,7229883.219262568
91,-16229.65177,7229733.069262568
114,-15878.26177,7229746.909262569
54554,-16156.88177,7229716.479262568
174,-15710.96177,7229804.409262569
170,-15716.48177,7229893.459262568
523,-15720.81177,7229873.659262569
285,-16358.22177,7229440.009262568
3567,-15718.06177,7229896.239262569
785,-15717.90177,7229895.929262568
37,-16147.59177,7229662.769262568
131,-16170.90177,7229629.909262569
452,-15605.43177,7229784.409262569
1436,-15750.12177,7229879.599262568
1360,-15833.05177,7229716.199262569
1169,-15718.09177,7229895.319262568
328,-15717.98177,7229895.629262568
1290,-16214.05177,7229753.829262569
357,-15718.15177,7229894.989262569
317,-15717.93177,7229895.319262568
1482,-17005.60177,7229782.039262569
393,-15718.01177,7229895.299262568
83,-16354.51177,7229727.349262568
40,-16214.12177,7229625.099262568
289,-15831.34177,7229673.019262568
1772,-15751.87177,7229879.599262568
44,-16319.68177,7229754.459262568
1370,-15718.26177,7229894.379262568
1580,-15718.06177,7229894.299262568
427,-15681.06177,7230107.849262568
452,-15677.65177,7230108.989262569
429,-15962.29177,7229962.769262568
80,-15708.00177,7229759.909262569
406,-15900.96177,7229595.519262568
425,-15678.68177,7230108.679262568
876,-15745.31177,7229880.379262568
1088,-15718.09177,7229894.989262569
335,-15753.79177,7229882.589262568
475,-15715.18177,7229895.739262569
49,-15978.65177,7229661.099262568
688,-15718.18177,7229895.569262568
703,-15718.20177,7229893.769262568
385,-16073.91177,7230175.179262568
2187,-15668.28177,7230110.949262569
1747,-15962.29177,7229962.799262568
832,-15729.79177,7229658.519262568
194,-16257.73177,7229730.239262569
106,-15933.36177,7229805.269262568
782,-15719.11177,7229872.689262568
97,-16176.70177,7229927.409262569
151,-15748.29177,7229792.849262568
281,-16014.83177,7229759.909262569
137,-15749.58177,7229747.719262568
153,-15693.89177,7229797.789262569
431,-16183.28177,7229720.169262568
176,-15762.31177,7229742.109262568
140,-15664.07177,7229828.119262569
334,-15717.93177,7229895.599262568
295,-15717.95177,7229894.769262568
795,-15678.05177,7230110.679262568
357,-15669.11177,7229737.609262568
338,-15718.01177,7229894.179262568
285,-16241.09177,7229888.739262569
237,-16242.65177,7229889.179262568
4640,-15717.65177,7229895.849262568
1341,-15757.73177,7229886.309262568
421,-15507.86177,7229626.109262568
346,-16241.48177,7229889.489262569
