query,title,type,rating_place,reviews,address,open_state,place_id,lat_place,lng_place,category_place,place_title,lat_review,lng_review,rating_review,date,review_title,review_text,user_name,local_guide,likes,images,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,final_label,sent_neg,sent_neu,sent_pos,sent_compound,sent_label
shop,Best-one London,Convenience Store,2.7,85,"20 Brick Ln, London, E1 6RF",Open · Closes 11 pm,ChIJr-NghLUcdkgRUc7LGID_yYQ,51.5179046,-0.070911,shop,Best-one London,51.5179046,-0.070911,1.0,7 years ago,,"I normally have no issue with this store, it’s small and has limited selection but is what you would expect from a brick lane convenience store.  When I went today (mid Friday) it was randomly closed with no note, and nobody appeared for 10 minutes while I waited. Unfortunately it is the only my Hermes parcel drop off place nearby, so I was more than frustrated by this closure during my only free time this week.",Sara Lawson,True,0.0,['https://lh3.googleusercontent.com/geougc-cs/ABOP9putf8zBBKBGihmKHiWD6EytdCI_G_rPKoYWW-Vn5NcpghKQ6qPdxBqGfNILvDxIzRWQmCREXfyz45bhSX1Gj3X_n-KOXp5ludTeSihhwiecRyiA1oamgESNsEdKdcErCgVVoeATww'],,,,,Resident,0.185,0.766,0.049,-0.8798,negative
shop,"NISA LOCAL, Chalton Street, London",Convenience Store,3.8,79,"7-11 Chalton St, London, NW1 1JD",Open · Closes 11 pm,ChIJJ7xV2I8bdkgR4qcMyYemYms,51.528614,-0.129187,shop,"NISA LOCAL, Chalton Street, London",51.528614,-0.129187,5.0,2 weeks ago,,Lovely staff and well stocked. Good selection of products especially with the premade food section and very reasonable prices. Would definitely recommend anyone to stop by as they also have a good selection of different snacks and drinks too. But especially the staff is genuinely so polite and helpful!!!,Selin Erkin,True,0.0,,,,,,Resident,0.027,0.695,0.278,0.9156,positive
shop,"NISA LOCAL, Chalton Street, London",Convenience Store,3.8,79,"7-11 Chalton St, London, NW1 1JD",Open · Closes 11 pm,ChIJJ7xV2I8bdkgR4qcMyYemYms,51.528614,-0.129187,shop,"NISA LOCAL, Chalton Street, London",51.528614,-0.129187,5.0,3 months ago,,Dropped luggage off for the day. Staff were friendly and helpful and the store layout was a nice size. Had a look around and brought some drinks before leaving.,Invokehazza,True,0.0,,,,,,Resident,0.0,0.747,0.253,0.8316,positive
shop,"NISA LOCAL, Chalton Street, London",Convenience Store,3.8,79,"7-11 Chalton St, London, NW1 1JD",Open · Closes 11 pm,ChIJJ7xV2I8bdkgR4qcMyYemYms,51.528614,-0.129187,shop,"NISA LOCAL, Chalton Street, London",51.528614,-0.129187,1.0,5 months ago,,"My family and I have been loyal local customers for years, but recently I’ve had to stop coming due to a senior member of staff at this branch. Whenever I come to collect a parcel, he gives attitude, makes me wait unnecessarily, and lectures customers on the “best times” to collect — even when I've follow that advice. No matter what time I come, there’s always an issue. If you offer a parcel collection service, please don’t be annoyed when customers actually use it!

I’m never one to complain, but today, after months of avoiding this place, I had to collect a parcel because it was my only local option. Even before arriving, I felt anxious about dealing with this individual — and unfortunately, my instincts were right. He was huffing and puffing again, giving me another lecture about collection times. Usually, I just let it go, but after a long day at work, a dentist appointment, and trying to fit this in during my lunch break, it was genuinely upsetting to be met with such a bad attitude when I’d done nothing wrong and was patiently waiting my turn.

This experience has really put me off returning, which is a shame given how long my family and I have supported this business.",T,True,0.0,,,,,,Resident,0.119,0.799,0.082,-0.8767,negative
shop,"NISA LOCAL, Chalton Street, London",Convenience Store,3.8,79,"7-11 Chalton St, London, NW1 1JD",Open · Closes 11 pm,ChIJJ7xV2I8bdkgR4qcMyYemYms,51.528614,-0.129187,shop,"NISA LOCAL, Chalton Street, London",51.528614,-0.129187,5.0,2 months ago,,"Very reasonable prices, & well stocked! We stopped by this store to buy water and snacks during our stay at a nearby hotel. The store is well-stocked and prices were more than reasonable compared to other similar stores nearby.",Helen K,True,0.0,,,,,,Resident,0.046,0.896,0.058,0.126,positive
shop,"NISA LOCAL, Chalton Street, London",Convenience Store,3.8,79,"7-11 Chalton St, London, NW1 1JD",Open · Closes 11 pm,ChIJJ7xV2I8bdkgR4qcMyYemYms,51.528614,-0.129187,shop,"NISA LOCAL, Chalton Street, London",51.528614,-0.129187,5.0,3 months ago,,"Brilliant supermarket with very fair prices and a very friendly member of staff. Really helpful and very hardworking. Treated everyone in the store with a really helpful attitude.

Brilliant.",Bradhelen,True,0.0,,,,,,Resident,0.0,0.533,0.467,0.9645,positive
shop,"NISA LOCAL, Chalton Street, London",Convenience Store,3.8,79,"7-11 Chalton St, London, NW1 1JD",Open · Closes 11 pm,ChIJJ7xV2I8bdkgR4qcMyYemYms,51.528614,-0.129187,shop,"NISA LOCAL, Chalton Street, London",51.528614,-0.129187,1.0,5 months ago,,"Unhelpful and rude staff. Just went to drop off my package and they refused to help me and did not provide a real response, not even looking at me and looking away to their colleagues when I walked up to the counter.

When I tried to speak to their other colleague, he just stated ""not now, come back later"" and proceeded to ignore me.

I didn't even ask a question, and they just brushed me off entirely, and went to serve another customer.

It wasn't even that busy! I just walked out because I couldn't deal with this rudeness - I'm not sure if this was racially motivated, but I am of Asian descent and they probably assumed I couldn't speak good English, which is not an excuse to ignore then or not let them speak!!

I've read other reviews and it seems like other people have the same issue. Seems like they haven't changed - or don't care enough to. AVOID!",Judith Wong,True,0.0,,,,,,Resident,0.144,0.799,0.056,-0.9212,negative
shop,"NISA LOCAL, Chalton Street, London",Convenience Store,3.8,79,"7-11 Chalton St, London, NW1 1JD",Open · Closes 11 pm,ChIJJ7xV2I8bdkgR4qcMyYemYms,51.528614,-0.129187,shop,"NISA LOCAL, Chalton Street, London",51.528614,-0.129187,5.0,2 weeks ago,,Great little local shop. Staff are always very friendly and polite.,Eileen Edwards,True,0.0,,,,,,Resident,0.0,0.542,0.458,0.8221,positive
shop,"NISA LOCAL, Chalton Street, London",Convenience Store,3.8,79,"7-11 Chalton St, London, NW1 1JD",Open · Closes 11 pm,ChIJJ7xV2I8bdkgR4qcMyYemYms,51.528614,-0.129187,shop,"NISA LOCAL, Chalton Street, London",51.528614,-0.129187,1.0,4 months ago,,I booked the luggage storage for today but the shop Is closed,Federica Taverna,True,0.0,['https://lh3.googleusercontent.com/geougc-cs/ABOP9pvCTYxxfRVlGLZYm30w24J-6HeauieUB4MwrEbBbJMiDTD66Aw4r6n958vXVVFhBFsGIhmAPitxoXTrkvKg0aqZ7boUdxjGORgKECbk6qYo0fILYEQChChuP3C1zSw9Y_CeJsYJXc1sYGk'],,,,,Resident,0.0,1.0,0.0,0.0,neutral
shop,Bloomsbury Local Store,Convenience Store,4.5,34,"14 Bloomsbury St, London, WC1B 3QA",Open 24 hours,ChIJo9c89jIbdkgR7noFwLe9O74,51.5175231,-0.1272147,shop,Bloomsbury Local Store,51.5175231,-0.1272147,1.0,a year ago,,"Everything we bought was expired.
Unfortunately only realised the things were expired the next day after we had some.
We had to chuck away most of the stuff due to not thinking we had to keep our receipt.
Please may the owner sell non-expired things.
Our drinks expired 4 months ago.
Please be careful from purchasing from them.",Dinokrumbz,True,0.0,,,,,,Resident,0.038,0.863,0.099,0.4215,positive
