sent_compound,x,y
-0.8798,-14916.88268,6714670.8171671685
0.9156,-14916.94095,6714670.827876569
0.4215,-14916.93898,6714670.816785668
0.311,-14917.02846,6714670.818357868
0.9781,-14916.95062,6714670.823992068
0.1752,-14916.94309,6714670.788974368
0.8323,-14917.02488,6714670.785236868
0.8793,-14916.90081,6714670.830387468
0.162,-14916.93943,6714670.814746468
0.9622,-14916.95426,6714670.812115569
-0.743,-14916.90705,6714670.869631669
0.7501,-14916.8576,6714670.815154568
0.9583,-14916.92267,6714670.8233582685
0.9661,-14916.94766,6714670.805350568
0.5413,-14916.9997,6714670.815084969
0.8481,-14916.94647,6714670.831673169
-0.0284,-14916.86985,6714670.804491068
0.34,-14916.94709,6714670.798742068
-0.4902,-14916.91169,6714670.825741168
0,-14916.95041,6714670.856289368
0.9115,-14916.98035,6714670.821930569
-0.9389,-14916.93351,6714670.848372568
0.6187,-14916.88865,6714670.815662068
-0.5106,-14917.01703,6714670.840639568
0.9598,-14916.92497,6714670.820942368
0.8619,-14916.94149,6714670.871194168
0.9607,-14916.95364,6714670.818018668
0.4978,-14916.9307,6714670.802517869
0.3612,-14916.88744,6714670.825567468
0.8883,-14916.9364,6714670.811651568
0,-14916.95068,6714670.812422468
0,-14917.01242,6714670.820026568
0.9944,-14916.96053,6714670.803228169
0.9061,-14916.91126,6714670.807146268
0.9673,-14916.94933,6714670.807797369
0.7506,-14916.96344,6714670.813583968
0.7158,-14916.98155,6714670.831874868
0.959,-14917.01106,6714670.798524468
-0.3332,-14917.00869,6714670.808530969
0.8957,-14916.88379,6714670.795010569
-0.6997,-14916.91358,6714670.828325368
0,-14916.94159,6714670.792342569
0,-14916.94416,6714670.817841768
-0.2406,-14916.93095,6714670.798891068
0.2514,-14916.91921,6714670.813628868
0.969,-14917.02099,6714670.820768368
0.714,-14916.89176,6714670.832419869
-0.0772,-14916.99234,6714670.830937969
-0.7351,-14916.91906,6714670.832765268
-0.9621,-14917.00514,6714670.796019969
0.9432,-14916.92069,6714670.820284869
0,-14916.9865,6714670.814900168
-0.4754,-14916.98342,6714670.8485566685
0,-14916.92163,6714670.778993769
-0.8922,-14916.97202,6714670.790771169
-0.4871,-14916.8858,6714670.847083569
0.9732,-14917.03534,6714670.875624469
0.9467,-14916.88176,6714670.771832868
0.9627,-14916.93872,6714670.818675868
0.9852,-14916.98395,6714670.795901768
0.9432,-14916.95492,6714670.814537468
0.9443,-14917.01201,6714670.799159869
0.8617,-14916.93335,6714670.811165668
0.9663,-14916.92773,6714670.814617668
0.8553,-14916.95034,6714670.816854568
0.9633,-14916.93355,6714670.812649468
0.988,-14916.91699,6714670.791556869
0.9136,-14916.93182,6714670.833500168
0.9387,-14916.93343,6714670.824515669
0.8519,-14916.91594,6714670.825619169
0.968,-14916.89852,6714670.8230089685
0.9329,-14916.91984,6714670.855872869
0.9042,-14916.89351,6714670.800453668
0.8591,-14916.93712,6714670.816926869
0.9186,-14916.98488,6714670.816373369
0.9963,-14916.90844,6714670.869834868
0.9545,-14916.87317,6714670.793594669
0.923,-14916.98601,6714670.828305368
0.9861,-14916.93823,6714670.836029368
0.875,-14916.93609,6714670.802009068
0.7184,-14916.98422,6714670.795212668
0.8958,-14916.93913,6714670.817280768
0.4019,-14916.9216,6714670.796208268
0.944,-14916.98946,6714670.796477469
0.9833,-14916.93667,6714670.818799868
0.9899,-14916.88772,6714670.807374968
0.9062,-14916.98209,6714670.795567368
0.8266,-14916.93342,6714670.811104668
0.8957,-14916.86773,6714670.843890368
0.9853,-14916.86682,6714670.828330068
0.9919,-14916.9542,6714670.799067669
0.9466,-14916.92043,6714670.795093369
0.8793,-14916.93838,6714670.818746368
0.9646,-14916.93599,6714670.818142269
0.8896,-14916.95673,6714670.867903069
0.8433,-14917.02265,6714670.835111368
0,-14917.03261,6714670.880615768
0.9309,-14917.0242,6714670.809546968
0.6808,-14917.00626,6714670.768344169
0.9273,-14917.01322,6714670.768261168
0.4215,-14916.85695,6714670.857539568
0.4754,-14917.02117,6714670.793764369
0.6249,-14917.03315,6714670.869469969
0.9842,-14917.00746,6714670.838395368
-0.428,-14916.91633,6714670.870819168
0.8282,-14916.98561,6714670.841329468
0.6239,-14917.02094,6714670.824536668
0.7184,-14916.89837,6714670.800980968
0,-14916.88391,6714670.775179768
-0.8881,-14916.93437,6714670.814786068
-0.9032,-14917.00206,6714670.808985769
0.6032,-14916.97117,6714670.821298068
0.9435,-14916.97717,6714670.815307569
0.371,-14917.01657,6714670.819915868
0.9978,-14916.8878,6714670.8158279685
0.9873,-14916.90765,6714670.826330368
0.9898,-14916.93283,6714670.785349868
0.9603,-14916.93787,6714670.811742469
0.6223,-14916.99756,6714670.829118968
0.9565,-14916.89396,6714670.824088369
0.9439,-14916.98133,6714670.823055669
0.9818,-14916.87296,6714670.831655968
0.2359,-14916.9153,6714670.796725168
0.4409,-14916.93507,6714670.781847368
0.9895,-14916.92894,6714670.818908668
0.99,-14916.92868,6714670.838152468
0.9453,-14916.87725,6714670.831634068
0.946,-14916.8847,6714670.766130868
0.957,-14916.9187,6714670.799130268
0.9512,-14916.8826,6714670.827595868
0.9901,-14916.94396,6714670.793035069
0.9642,-14916.94932,6714670.792385168
0.9379,-14916.87444,6714670.784390968
0.9658,-14916.93564,6714670.814973368
0.9489,-14916.91001,6714670.810967368
0.9903,-14916.93628,6714670.817556868
0.891,-14916.94481,6714670.828805269
0.9842,-14917.01421,6714670.776122568
0.9914,-14916.89965,6714670.801359968
0.996,-14916.95975,6714670.7938961685
0.9949,-14916.96294,6714670.778925468
0.9844,-14916.95375,6714670.816207768
0.9885,-14916.90931,6714670.820885069
0.962,-14916.97846,6714670.789756768
0.9686,-14917.01316,6714670.816961869
0.9602,-14916.93238,6714670.828941268
0.9185,-14916.88909,6714670.832951669
0.926,-14916.92182,6714670.803064069
0.9417,-14916.88654,6714670.846204569
0.9578,-14916.86599,6714670.839280268
0.999,-14917.0057,6714670.808967069
0.927,-14917.01743,6714670.815093269
0.9859,-14916.95484,6714670.837974968
0.9732,-14916.87497,6714670.8257597685
0.9802,-14916.95996,6714670.842134369
0.9287,-14916.92909,6714670.8188815685
0.8578,-14916.92537,6714670.841908769
0.953,-14916.92077,6714670.832835268
0.9576,-14916.9934,6714670.848306568
-0.1888,-14916.89018,6714670.819092468
0.9702,-14916.91109,6714670.788902468
0.4393,-14916.95386,6714670.845015968
0.9946,-14917.01638,6714670.787731368
0.9838,-14916.87287,6714670.836611268
0.9619,-14916.86867,6714670.847420269
0.9408,-14917.01038,6714670.779934268
0.866,-14916.86685,6714670.842766268
0.9841,-14917.03404,6714670.787350468
0.97,-14917.02509,6714670.856907268
0.883,-14916.93413,6714670.866443968
0.9827,-14916.94562,6714670.809021869
0.6033,-14917.00573,6714670.787164369
0.9702,-14916.88723,6714670.816357468
0.9934,-14916.9966,6714670.867265268
0.9856,-14916.89192,6714670.816863269
0.9213,-14916.9842,6714670.796635868
0.9882,-14916.87158,6714670.868401568
0,-14916.87327,6714670.844938968
0.8591,-14916.93193,6714670.783913968
-0.7089,-14916.93842,6714670.808083569
0.9272,-14916.93628,6714670.8267846685
0.9221,-14916.99587,6714670.821409868
0.8271,-14916.87903,6714670.773406768
-0.8385,-14917.02217,6714670.817787169
0.9863,-14916.94007,6714670.862599368
0.9792,-14916.88594,6714670.845029668
0.9427,-14916.95454,6714670.815568969
0.9168,-14916.97644,6714670.853634869
0.908,-14916.95647,6714670.814389968
0.9801,-14916.90002,6714670.7727361685
0.9146,-14917.00375,6714670.845073168
0.8779,-14916.9616,6714670.881598968
0.9907,-14916.88593,6714670.857734068
0.4466,-14916.9034,6714670.827631968
0.6115,-14916.89924,6714670.791121668
0.9923,-14917.00431,6714670.809233569
0.6808,-14916.93985,6714670.814964469
0.9531,-14916.94572,6714670.825296468
0.9878,-14916.97777,6714670.822173968
0.9349,-14916.95255,6714670.848557568
0.9826,-14916.87388,6714670.834933569
0.9737,-14917.02281,6714670.835210568
0.9013,-14916.89525,6714670.833750068
0.9773,-14916.97403,6714670.844877169
0.944,-14916.88934,6714670.8290180685
0.7177,-14916.90841,6714670.823145968
0.9904,-14917.00345,6714670.814748068
