sent_compound,x,y
-0.0058,-14916.88268,6714670.8171671685
-0.6665,-14916.9232,6714670.801783768
-0.5659,-14917.02846,6714670.818357868
0.9851,-14916.95062,6714670.823992068
0.9413,-14916.96161,6714670.8130536685
-0.49,-14916.94309,6714670.788974368
0.4854,-14916.90081,6714670.830387468
-0.9272,-14916.93943,6714670.814746468
0.0828,-14916.95342,6714670.791079368
-0.0772,-14916.92921,6714670.819570469
-0.9599,-14916.96612,6714670.808177568
0.9175,-14916.93981,6714670.815838568
0.3612,-14916.92267,6714670.8233582685
0.5106,-14916.93897,6714670.806223068
0.6369,-14916.94435,6714670.809629568
0.8481,-14916.94766,6714670.805350568
0.6705,-14916.93838,6714670.814781068
0.7408,-14916.94647,6714670.831673169
-0.9458,-14916.93396,6714670.809327768
-0.0334,-14916.86985,6714670.804491068
0.4404,-14916.94296,6714670.830254869
0.9753,-14916.9152,6714670.8078588685
-0.2465,-14916.96004,6714670.810909668
0.9062,-14916.94709,6714670.798742068
-0.6249,-14916.91169,6714670.825741168
0,-14916.93397,6714670.809031068
0.8805,-14916.91557,6714670.834569468
-0.7696,-14916.94858,6714670.810188768
0.9647,-14916.95959,6714670.803850069
0.944,-14916.97416,6714670.800861169
0.9092,-14916.98035,6714670.821930569
0.5461,-14916.92497,6714670.820942368
0,-14916.93638,6714670.834047868
0.9498,-14916.94149,6714670.871194168
0,-14916.90228,6714670.793600868
0.8775,-14916.95364,6714670.818018668
0,-14916.94529,6714670.809240068
0.7923,-14916.9307,6714670.802517869
0.5905,-14916.88744,6714670.825567468
0.4767,-14916.9364,6714670.811651568
-0.8774,-14917.01242,6714670.820026568
0.9684,-14916.96053,6714670.803228169
-0.9316,-14916.91126,6714670.807146268
0.9651,-14916.94933,6714670.807797369
0,-14916.95124,6714670.7907618685
0,-14916.94888,6714670.791874568
0,-14916.92883,6714670.804679968
0,-14916.92177,6714670.867416969
0,-14916.9682,6714670.813489469
-0.7841,-14916.98155,6714670.831874868
0,-14916.94314,6714670.813892269
0,-14916.94726,6714670.863632669
0,-14917.00986,6714670.798708268
0,-14916.95137,6714670.8072190685
0,-14916.94064,6714670.810362368
0,-14916.96188,6714670.788380168
0,-14916.95562,6714670.776781568
0,-14916.8854,6714670.860507868
0,-14916.99494,6714670.794037769
0,-14916.92816,6714670.870123669
0,-14916.92299,6714670.800858168
0,-14917.01236,6714670.797962668
0,-14916.99558,6714670.798205168
0,-14916.90116,6714670.804745468
0,-14916.94493,6714670.827676169
0,-14916.95201,6714670.791573469
0,-14916.92069,6714670.820134068
0,-14916.97629,6714670.849233269
0,-14916.95666,6714670.797440968
0,-14916.99558,6714670.798153568
0.9041,-14917.01106,6714670.798524468
0,-14916.9932,6714670.785051168
0,-14916.9385,6714670.834475168
0,-14916.95254,6714670.835851869
0,-14916.90429,6714670.772389368
0,-14916.88817,6714670.798968469
0,-14916.90148,6714670.804120168
0,-14916.94254,6714670.775593269
0,-14916.96083,6714670.841632268
0,-14917.01692,6714670.815048568
0,-14916.89657,6714670.803525069
0,-14916.98884,6714670.782387468
0,-14916.90614,6714670.785461169
0,-14916.91483,6714670.834976569
0,-14917.00668,6714670.806331868
0,-14916.90571,6714670.783973868
0,-14917.01929,6714670.818761868
0,-14916.98659,6714670.793172868
0,-14916.89517,6714670.795020669
0,-14916.92997,6714670.819360368
0,-14917.00994,6714670.871909068
0,-14916.97,6714670.791314568
0,-14916.86831,6714670.826868468
0,-14917.01788,6714670.816276468
0,-14917.00854,6714670.779407268
0,-14916.93441,6714670.879984569
0,-14916.92527,6714670.799641669
0,-14917.03478,6714670.847442169
0,-14917.00478,6714670.791872668
0,-14916.88439,6714670.863149469
-0.3384,-14917.00869,6714670.808530969
0,-14916.94283,6714670.811726169
0,-14916.88379,6714670.795010569
0,-14916.99116,6714670.812928769
0,-14916.94776,6714670.818435168
0,-14916.94949,6714670.825884468
0,-14916.97077,6714670.792710468
0,-14916.95928,6714670.805282168
0,-14916.95512,6714670.814250869
0,-14917.01896,6714670.797369269
0,-14916.92829,6714670.835425168
0.2732,-14916.91358,6714670.828325368
0,-14916.90483,6714670.769754068
0,-14916.94918,6714670.814604969
0,-14916.99108,6714670.8126896685
0,-14916.90826,6714670.8260176685
0,-14916.92942,6714670.842593769
0,-14916.93164,6714670.811550168
0.7703,-14916.94416,6714670.817841768
0,-14916.91559,6714670.825885268
0,-14916.87277,6714670.828721069
0,-14916.95071,6714670.812654069
0,-14916.94736,6714670.815098069
0,-14916.94076,6714670.811126968
0,-14916.97016,6714670.822887069
0,-14916.9691,6714670.811160268
0,-14916.96509,6714670.8130568685
0,-14916.94576,6714670.811665769
0,-14917.02903,6714670.800711868
0,-14916.99914,6714670.810471169
0,-14916.86649,6714670.805921368
0,-14916.95288,6714670.768587268
0,-14916.95953,6714670.7935933685
0,-14916.92572,6714670.810631068
0,-14916.86661,6714670.806681168
0,-14916.94228,6714670.775850168
0,-14916.97103,6714670.812722568
0,-14916.93459,6714670.879817968
0,-14916.9378,6714670.822524068
0,-14916.90298,6714670.836573068
0,-14917.02885,6714670.815080868
0,-14916.9343,6714670.835128868
0,-14916.97451,6714670.7984976685
0,-14916.94861,6714670.826432468
0,-14916.94629,6714670.816526769
0,-14916.97677,6714670.815010169
0,-14916.94537,6714670.807992568
0,-14916.94531,6714670.8118646685
0,-14917.02856,6714670.8543626685
0,-14916.92036,6714670.832851868
0,-14916.9685,6714670.798694569
0,-14916.87121,6714670.8209492685
0,-14916.97126,6714670.799102369
0,-14916.96235,6714670.7929666685
0,-14916.94746,6714670.821494868
0,-14916.93072,6714670.857003569
0,-14916.97435,6714670.798558668
0,-14916.88334,6714670.8229926685
0,-14916.96147,6714670.805616968
0,-14916.98899,6714670.782940068
0,-14916.95287,6714670.807316768
0,-14916.96215,6714670.815852769
0,-14916.97446,6714670.797842069
0,-14916.92355,6714670.813478068
0,-14916.94716,6714670.808615068
0,-14916.94789,6714670.811764468
0,-14916.95337,6714670.808991169
0,-14916.93675,6714670.832575168
0,-14916.95629,6714670.780906068
0,-14916.90537,6714670.773313168
0,-14916.95352,6714670.809196669
0,-14916.88597,6714670.859167769
0,-14916.95525,6714670.810801168
0,-14916.9715,6714670.800775669
0,-14916.94178,6714670.814045069
0,-14916.91669,6714670.821809368
0,-14916.95583,6714670.811031668
0,-14916.88594,6714670.857112468
0,-14916.94585,6714670.808506468
0,-14916.87904,6714670.854055968
0,-14916.97527,6714670.798116368
0,-14916.97478,6714670.798471669
0,-14917.02138,6714670.788584068
-0.296,-14916.98659,6714670.814941169
0.9665,-14916.96023,6714670.813162268
-0.8183,-14916.91921,6714670.813628868
0.9595,-14917.02099,6714670.820768368
0.966,-14916.92674,6714670.811602268
0.3182,-14916.99234,6714670.830937969
0,-14917.01382,6714670.840259869
0.7184,-14916.91906,6714670.832765268
0,-14916.8641,6714670.819451968
0,-14916.9865,6714670.814900168
-0.1007,-14916.98342,6714670.8485566685
0.862,-14916.87648,6714670.791389069
0,-14916.9006,6714670.824584468
0,-14916.91091,6714670.837527269
0,-14916.93535,6714670.814166268
0,-14917.01285,6714670.782960068
0,-14916.95529,6714670.820833068
0.7732,-14916.98192,6714670.777631069
0,-14916.90043,6714670.826498268
0,-14916.89311,6714670.861086369
0,-14916.9406,6714670.863069869
0,-14916.91685,6714670.828927268
-0.9442,-14916.97202,6714670.790771169
0.9735,-14916.8858,6714670.847083569
0.9787,-14917.03534,6714670.875624469
0.9902,-14916.88176,6714670.771832868
0.9759,-14916.93872,6714670.818675868
0.9523,-14916.98813,6714670.795977568
0.9838,-14916.98849,6714670.796484169
0.9758,-14916.98395,6714670.795901768
0.948,-14916.95492,6714670.814537468
0.9674,-14916.92042,6714670.795099168
0.9888,-14917.01201,6714670.799159869
0.7964,-14916.93196,6714670.794224668
0.8108,-14916.94112,6714670.801421069
0.9624,-14916.97221,6714670.785667568
0.8805,-14916.86937,6714670.833908568
0.7092,-14916.92803,6714670.822857768
-0.7475,-14916.96613,6714670.822279968
0.9673,-14916.98759,6714670.795386368
0.9184,-14916.89938,6714670.813428569
0.9612,-14916.92569,6714670.824013568
0.9921,-14916.93335,6714670.811165668
0.948,-14916.92773,6714670.814617668
0.9386,-14916.86862,6714670.829655068
0.875,-14916.92943,6714670.7992555685
0.9217,-14916.95428,6714670.809089568
0.9402,-14916.90037,6714670.804290868
0.9794,-14916.95034,6714670.816854568
0.9669,-14916.93355,6714670.812649468
0.9755,-14916.98465,6714670.800741568
0.9637,-14916.91699,6714670.791556869
0.5927,-14916.93182,6714670.833500168
0.9636,-14916.93279,6714670.814290169
0.9184,-14916.98664,6714670.796840669
0.9722,-14916.93343,6714670.824515669
0.9545,-14916.98544,6714670.796516868
0.5563,-14916.88704,6714670.807599468
-0.6941,-14916.91594,6714670.825619169
0.7391,-14916.89852,6714670.8230089685
0.9949,-14916.98885,6714670.798944868
0.9851,-14916.91984,6714670.855872869
0.9591,-14916.89351,6714670.800453668
0.9656,-14916.91215,6714670.817000968
-0.5757,-14916.94515,6714670.823800968
0.9561,-14916.93712,6714670.816926869
0,-14916.95406,6714670.817733368
